nombre,poblacion,superficie,continente
China,1409670000,9596960,Asia
Estados Unidos,335893238,9833517,América
Indonesia,277534122,1904569,Asia
Pakistán,235824862,881913,Asia
Brasil,213993437,8515767,América
Nigeria,218541212,923768,África
Bangladesh,167885269,147570,Asia
Rusia,144444359,17098242,Europa
Etiopía,126527060,1104300,África
México,128455567,1964375,América
Japón,125800000,377975,Asia
Filipinas,115559009,300000,Asia
Egipto,104258327,1001449,África
DR Congo,99010212,2344858,África
Vietnam,97338579,331212,Asia
Irán,87590873,1648195,Asia
Turquía,85341241,783562,Asia
Alemania,83149300,357022,Europa
Tailandia,71801279,513120,Asia
Reino Unido,67791400,242495,Europa
Tanzania,63298550,945087,África
Francia,67897000,551695,Europa
Sudáfrica,60414495,1219090,África
Kenia,55100586,580367,África
Colombia,51874024,1141748,América
Myanmar,54050986,676578,Asia
España,47615034,505990,Europa
Argentina,45376763,2780400,América
Argelia,45350148,2381741,África
Sudán,45657202,1861484,África
Uganda,47249585,241038,África
Irak,41179350,438317,Asia
Ucrania,43528136,603550,Europa
Canadá,38781292,9984670,América
Polonia,37840001,312679,Europa
Marruecos,37840044,446550,África
Uzbekistán,35264979,447400,Asia
Arabia Saudita,35950396,2149690,Asia
Perú,33396698,1285216,América
Angola,34795287,1246700,África
Venezuela,28301696,916445,América
Malasia,33600000,329847,Asia
Mozambique,32790338,801590,África
Ghana,33475870,238533,África
Yemen,33696614,527968,Asia
Nepal,29674920,147181,Asia
Madagascar,28915653,587041,África
Camerún,28647293,475442,África
Australia,26439111,7692024,Oceanía
Corea del Norte,25971909,120538,Asia
Costa de Marfil,27742298,322463,África
Níger,25252722,1267000,África
Sri Lanka,22156000,65610,Asia
Burkina Faso,22102838,274200,África
Mali,22395489,1240192,África
Rumanía,19040000,238397,Europa
Chile,19629590,756102,América
Kazajistán,19397998,2724900,Asia
Malawi,20405317,118484,África
Zambia,19473125,752618,África
Ecuador,18001000,283561,América
Países Bajos,17890000,41543,Europa
Siria,21324367,185180,Asia
Guatemala,17357010,108889,América
Camboya,16713015,181035,Asia
Zimbabwe,16320537,390757,África
Senegal,17763163,196722,África
Chad,17414717,1284000,África
Ruanda,13776698,26338,África
Guinea,13531906,245857,África
Bélgica,11632326,30528,Europa
Bolivia,12079472,1098581,América
Haití,11743017,27750,América
Túnez,11818619,163610,África
Cuba,11089511,109884,América
Burundi,12574571,27834,África
Suecia,10521556,450295,Europa
Benín,13352864,112622,África
Somalia,17065581,637657,África
República Checa,10827529,78866,Europa
República Dominicana,11117873,48671,América
Portugal,10290103,92212,Europa
Jordania,10269021,89342,Asia
Azerbaiyán,10139177,86600,Asia
Tayikistán,9952787,143100,Asia
Honduras,10278345,112492,América
Israel,9364220,20770,Asia
Suiza,8738791,41285,Europa
Austria,9104772,83871,Europa
Papúa Nueva Guinea,10329931,462840,Oceanía
Sierra Leona,8791092,71740,África
Togo,8848699,56785,África
Bulgaria,6465000,110879,Europa
Serbia,6834326,77474,Europa
Laos,7379358,236800,Asia
Paraguay,7356409,406752,América
Líbano,5296814,10452,Asia
Libia,6888388,1759540,África
El Salvador,6364943,21041,América
Nicaragua,6948392,130370,América
Kirguistán,6978396,199951,Asia
Singapur,5917648,728,Asia
Dinamarca,5910913,42924,Europa
Finlandia,5545475,338145,Europa
Turkmenistán,6118000,488100,Asia
Eslovaquia,5459781,49035,Europa
Congo,5797805,342000,África
Eritrea,3546421,117600,África
Noruega,5481000,385207,Europa
Costa Rica,5213374,51100,América
Nueva Zelanda,5123000,270467,Oceanía
Palestina,5371230,6020,Asia
